[{No.,1
Country,USA
Market Cap,1606.18
P/E,64.28
Price,13.26
Change,0.00%
Volume,0}
{No.,10543
Ticker,WTV
Company,WisdomTree U.S. Value Fund
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,100.11
Change,0.00%
Volume,0}
{No.,10544
Ticker,WTW
Company,Willis Towers Watson Public Limited Co
Sector,Financial
Industry,Insurance Brokers
Country,United Kingdom
Market Cap,28437.33
P/E,18.16
Price,297.00
Change,0.51%
Volume,9}
{No.,10545
Ticker,WU
Company,Western Union Company
Sector,Financial
Industry,Credit Services
Country,USA
Market Cap,3000.46
P/E,4.10
Price,9.44
Change,0.00%
Volume,0}
{No.,10546
Ticker,WUGI
Company,AXS Esoterica NextG Economy ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,70.11
Change,0.00%
Volume,0}
{No.,10547
Ticker,WULF
Company,TeraWulf Inc
Sector,Financial
Industry,Capital Markets
Country,USA
Market Cap,6799.39
P/E,
Price,16.24
Change,0.37%
Volume,15839}
{No.,10548
Ticker,WULX
Company,Tradr 2X Long WULF Daily ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,27.38
Change,0.00%
Volume,0}
{No.,10549
Ticker,WVE
Company,Wave Life Sciences Ltd
Sector,Healthcare
Industry,Biotechnology
Country,Singapore
Market Cap,2324.06
P/E,
Price,12.70
Change,0.87%
Volume,1312}
{No.,10550
Ticker,WVVI
Company,Willamette Valley Vineyard Inc
Sector,Consumer Defensive
Industry,Beverages - Wineries & Distilleries
Country,USA
Market Cap,12.81
P/E,
Price,2.58
Change,0.00%
Volume,0}
{No.,10551
Ticker,WW
Company,WW International Inc
Sector,Consumer Cyclical
Industry,Personal Services
Country,USA
Market Cap,220.31
P/E,0.20
Price,22.06
Change,0.00%
Volume,0}
{No.,10552
Ticker,WWD
Company,Woodward Inc
Sector,Industrials
Industry,Aerospace & Defense
Country,USA
Market Cap,23078.49
P/E,48.75
Price,387.12
Change,0.00%
Volume,0}
{No.,10553
Ticker,WWJD
Company,Inspire International ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,39.44
Change,0.00%
Volume,0}
{No.,10554
Ticker,WWR
Company,Westwater Resources Inc
Sector,Basic Materials
Industry,Other Industrial Metals & Mining
Country,USA
Market Cap,106.14
P/E,
Price,0.90
Change,0.00%
Volume,0}
{No.,10555
Ticker,WWW
Company,Wolverine World Wide
Sector,Consumer Cyclical
Industry,Footwear & Accessories
Country,USA
Market Cap,1484.44
P/E,17.27
Price,18.11
Change,0.00%
Volume,0}
{No.,10556
Ticker,WXET
Company,Teucrium 2x Daily Wheat ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,16.20
Change,0.00%
Volume,0}
{No.,10557
Ticker,WXM
Company,WF International Ltd
Sector,Industrials
Industry,Industrial Distribution
Country,China
Market Cap,3.96
P/E,
Price,0.46
Change,0.00%
Volume,0}
{No.,10558
Ticker,WY
Company,Weyerhaeuser Co
Sector,Real Estate
Industry,REIT - Specialty
Country,USA
Market Cap,19371.47
P/E,60.04
Price,26.88
Change,0.00%
Volume,0}
{No.,10559
Ticker,WYFI
Company,Whitefiber Inc
Sector,Technology
Industry,Software - Application
Country,USA
Market Cap,699.01
P/E,
Price,18.27
Change,-0.76%
Volume,61}
{No.,10560
Ticker,WYHG
Company,Wing Yip Food Holdings Group Ltd. ADR
Sector,Consumer Defensive
Industry,Packaged Foods
Country,China
Market Cap,21.29
P/E,4.68
Price,0.42
Change,0.00%
Volume,0}
{No.,10561
Ticker,WYNN
Company,Wynn Resorts Ltd
Sector,Consumer Cyclical
Industry,Resorts & Casinos
Country,USA
Market Cap,11894.68
P/E,38.15
Price,114.40
Change,0.00%
Volume,0}
{No.,10562
Ticker,WYY
Company,Widepoint Corp
Sector,Technology
Industry,Information Technology Services
Country,USA
Market Cap,49.36
P/E,
Price,4.99
Change,0.00%
Volume,0}
{No.,10563
Ticker,WZRD
Company,Opportunistic Trader ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,15.24
Change,0.00%
Volume,0}
{No.,10564
Ticker,XAGG
Company,Eaton Vance Income Opportunities ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,51.29
Change,0.00%
Volume,0}
{No.,10565
Ticker,XAIR
Company,Beyond Air Inc
Sector,Healthcare
Industry,Medical Devices
Country,USA
Market Cap,11.37
P/E,
Price,1.08
Change,0.00%
Volume,0}
{No.,10566
Ticker,XAIX
Company,Xtrackers Artificial Intelligence and Big Data ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,41.76
Change,0.00%
Volume,0}
{No.,10567
Ticker,XAPR
Company,FT Vest U.S. Equity Enhance & Moderate Buffer ETF - April
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,36.65
Change,0.00%
Volume,0}
{No.,10568
Ticker,XAR
Company,State Street SPDR S&P Aerospace & Defense ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,273.59
Change,0.03%
Volume,19}
{No.,10569
Ticker,XAUG
Company,FT Vest U.S. Equity Enhance & Moderate Buffer ETF - August
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,37.58
Change,0.00%
Volume,0}
{No.,10570
Ticker,XB
Company,BondBloxx B-Rated USD High Yield Corporate Bond ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,39.47
Change,0.00%
Volume,0}
{No.,10571
Ticker,XBAP
Company,Innovator U.S. Equity Accelerated 9 Buffer ETF - April
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,38.87
Change,0.00%
Volume,0}
{No.,10572
Ticker,XBB
Company,BondBloxx BB-Rated USD High Yield Corporate Bond ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,41.34
Change,0.00%
Volume,0}
{No.,10573
Ticker,XBCI
Company,NEOS Boosted Bitcoin High Income ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,41.79
Change,0.00%
Volume,0}
{No.,10574
Ticker,XBI
Company,State Street SPDR S&P Biotech ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,124.63
Change,0.00%
Volume,0}
{No.,10575
Ticker,XBIL
Company,F/m US Treasury 6 Month Bill ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,50.13
Change,0.00%
Volume,0}
{No.,10576
Ticker,XBIO
Company,Xenetic Biosciences Inc
Sector,Healthcare
Industry,Biotechnology
Country,USA
Market Cap,4.99
P/E,
Price,2.18
Change,0.00%
Volume,0}
{No.,10577
Ticker,XBIT
Company,XBiotech Inc
Sector,Healthcare
Industry,Biotechnology
Country,USA
Market Cap,71.34
P/E,
Price,2.34
Change,0.00%
Volume,0}
{No.,10578
Ticker,XBJA
Company,Innovator U.S. Equity Accelerated 9 Buffer ETF - January
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,32.08
Change,0.00%
Volume,0}
{No.,10579
Ticker,XBJL
Company,Innovator U.S. Equity Accelerated 9 Buffer ETF - July
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,38.45
Change,0.00%
Volume,0}
{No.,10580
Ticker,XBOC
Company,Innovator U.S. Equity Accelerated 9 Buffer ETF - October
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,33.64
Change,0.00%
Volume,0}
{No.,10581
Ticker,XBP
Company,XBP Global Holdings Inc
Sector,Technology
Industry,Software - Infrastructure
Country,USA
Market Cap,83.44
P/E,0.07
Price,7.10
Change,0.00%
Volume,0}
{No.,10582
Ticker,XBTY
Company,GraniteShares YieldBOOST Bitcoin ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,8.35
Change,0.00%
Volume,0}
{No.,10583
Ticker,XC
Company,WisdomTree True Emerging Markets Fund
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,34.05
Change,0.00%
Volume,0}
{No.,10584
Ticker,XCBEU
Company,X3 Acquisition Corp. Ltd
Sector,Financial
Industry,Shell Companies
Country,USA
Market Cap,199.60
P/E,
Price,9.98
Change,0.00%
Volume,0}
{No.,10585
Ticker,XCCC
Company,BondBloxx CCC-Rated USD High Yield Corporate Bond ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,37.54
Change,0.00%
Volume,0}
{No.,10586
Ticker,XCEM
Company,Columbia EM Core ex-China ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,43.77
Change,0.00%
Volume,0}
{No.,10587
Ticker,XCH
Company,XCHG Ltd ADR
Sector,Industrials
Industry,Specialty Industrial Machinery
Country,Germany
Market Cap,41.33
P/E,
Price,1.01
Change,0.00%
Volume,0}
{No.,10588
Ticker,XCHG
Company,AB US Equity ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,25.05
Change,0.00%
Volume,0}
{No.,10589
Ticker,XCLR
Company,Global X S&P 500 Collar 95-110 ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,26.89
Change,0.00%
Volume,0}
{No.,10590
Ticker,XCNY
Company,State Street SPDR S&P Emerging Markets ex-China ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,30.72
Change,0.00%
Volume,0}
{No.,10591
Ticker,XCOR
Company,FundX ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,80.35
Change,0.00%
Volume,0}
{No.,10592
Ticker,XCUR
Company,Exicure Inc
Sector,Healthcare
Industry,Biotechnology
Country,USA
Market Cap,24.76
P/E,
Price,3.88
Change,0.00%
Volume,0}
{No.,10593
Ticker,XDAT
Company,Franklin Exponential Data ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,21.64
Change,0.00%
Volume,0}
{No.,10594
Ticker,XDEC
Company,FT Vest U.S. Equity Enhance & Moderate Buffer ETF - December
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,41.03
Change,0.00%
Volume,0}
{No.,10595
Ticker,XDIV
Company,Roundhill S&P 500 No Dividend Target ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,27.67
Change,0.00%
Volume,0}
{No.,10596
Ticker,XDQQ
Company,Innovator Growth Accelerated ETF - Quarterly
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,38.95
Change,0.00%
Volume,0}
{No.,10597
Ticker,XDSQ
Company,Innovator U.S. Equity Accelerated ETF - Quarterly
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,41.88
Change,0.00%
Volume,0}
{No.,10598
Ticker,XDTE
Company,Roundhill S&P 500 0DTE Covered Call Strategy ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,39.42
Change,0.33%
Volume,46}
{No.,10599
Ticker,XEL
Company,Xcel Energy
Sector,Utilities
Industry,Utilities - Regulated Electric
Country,USA
Market Cap,47766.83
P/E,23.59
Price,80.75
Change,0.00%
Volume,0}
{No.,10600
Ticker,XELB
Company,Xcel Brands Inc
Sector,Consumer Cyclical
Industry,Apparel Manufacturing
Country,USA
Market Cap,11.26
P/E,
Price,1.91
Change,0.00%
Volume,0}
{No.,10601
Ticker,XEMD
Company,BondBloxx JP Morgan USD Emerging Markets 1-10 Year Bond ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,45.35
Change,0.00%
Volume,0}
{No.,10602
Ticker,XEML
Company,Xtrackers Europe Market Leaders ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,27.07
Change,0.00%
Volume,0}
{No.,10603
Ticker,XENE
Company,Xenon Pharmaceuticals Inc
Sector,Healthcare
Industry,Biotechnology
Country,Canada
Market Cap,3219.28
P/E,
Price,41.66
Change,0.00%
Volume,0}
{No.,10604
Ticker,XERS
Company,Xeris Biopharma Holdings Inc
Sector,Healthcare
Industry,Biotechnology
Country,USA
Market Cap,1146.54
P/E,
Price,6.91
Change,0.00%
Volume,0}
{No.,10605
Ticker,XES
Company,State Street SPDR S&P Oil & Gas Equipment & Services ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,107.89
Change,0.00%
Volume,0}
{No.,10606
Ticker,XFEB
Company,FT Vest U.S. Equity Enhance & Moderate Buffer ETF - February
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,36.05
Change,0.00%
Volume,0}
{No.,10607
Ticker,XFIV
Company,BondBloxx Bloomberg Five Year Target Duration US Treasury ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,49.83
Change,0.00%
Volume,0}
{No.,10608
Ticker,XFLH-U
Company,XFLH Capital Corp
Sector,Financial
Industry,Shell Companies
Country,USA
Market Cap,99.60
P/E,
Price,9.96
Change,0.00%
Volume,0}
{No.,10609
Ticker,XFLT
Company,XAI Octagon Floating Rate & Alternative Income Trust
Sector,Financial
Industry,Closed-End Fund - Debt
Country,USA
Market Cap,303.10
P/E,24.88
Price,3.98
Change,0.00%
Volume,0}
{No.,10610
Ticker,XFLX
Company,FundX Flexible ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,22.67
Change,0.00%
Volume,0}
{No.,10611
Ticker,XFOR
Company,X4 Pharmaceuticals Inc
Sector,Healthcare
Industry,Biotechnology
Country,USA
Market Cap,271.05
P/E,
Price,3.10
Change,0.00%
Volume,0}
{No.,10612
Ticker,XGN
Company,Exagen Inc
Sector,Healthcare
Industry,Diagnostics & Research
Country,USA
Market Cap,75.01
P/E,
Price,3.31
Change,0.00%
Volume,0}
{No.,10613
Ticker,XHB
Company,State Street SPDR S&P Homebuilders ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,120.14
Change,0.00%
Volume,0}
{No.,10614
Ticker,XHE
Company,State Street SPDR S&P Health Care Equipment ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,85.31
Change,0.00%
Volume,0}
{No.,10615
Ticker,XHG
Company,XChange Tec.Inc. ADR
Sector,Financial
Industry,Insurance Brokers
Country,China
Market Cap,40.70
P/E,
Price,0.87
Change,0.00%
Volume,0}
{No.,10616
Ticker,XHLD
Company,TEN Holdings Inc
Sector,Communication Services
Industry,Broadcasting
Country,USA
Market Cap,6.24
P/E,
Price,2.10
Change,0.00%
Volume,126}
{No.,10617
Ticker,XHLF
Company,BondBloxx Bloomberg Six Month Target Duration US Treasury ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,50.30
Change,0.00%
Volume,0}
{No.,10618
Ticker,XHR
Company,Xenia Hotels & Resorts Inc
Sector,Real Estate
Industry,REIT - Hotel & Motel
Country,USA
Market Cap,1508.36
P/E,28.41
Price,15.91
Change,0.00%
Volume,0}
{No.,10619
Ticker,XHS
Company,State Street SPDR S&P Health Care Services ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,108.33
Change,0.00%
Volume,0}
{No.,10620
Ticker,XHYC
Company,BondBloxx USD High Yield Bond Consumer Cyclicals Sector ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,37.46
Change,0.00%
Volume,0}
{No.,10621
Ticker,XHYD
Company,BondBloxx USD High Yield Bond Consumer Non-Cyclicals Sector ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,38.60
Change,0.00%
Volume,0}
{No.,10622
Ticker,XHYE
Company,BondBloxx USD High Yield Bond Energy Sector ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,39.20
Change,0.00%
Volume,0}
{No.,10623
Ticker,XHYF
Company,BondBloxx USD High Yield Bond Financial & REIT Sector ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,37.72
Change,0.00%
Volume,0}
{No.,10624
Ticker,XHYH
Company,BondBloxx USD High Yield Bond Healthcare Sector ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,35.67
Change,0.00%
Volume,0}
{No.,10625
Ticker,XHYI
Company,BondBloxx USD High Yield Bond Industrial Sector ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,38.27
Change,0.00%
Volume,0}
{No.,10626
Ticker,XHYT
Company,BondBloxx USD High Yield Bond Telecom
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,34.38
Change,0.00%
Volume,0}
{No.,10627
Ticker,XIDE
Company,FT Vest U.S. Equity Buffer & Premium Income ETF - December
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,30.07
Change,0.00%
Volume,0}
{No.,10628
Ticker,XIDV
Company,Franklin International Dividend Booster Index ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,37.10
Change,0.00%
Volume,0}
{No.,10629
Ticker,XIFR
Company,XPLR Infrastructure LP
Sector,Utilities
Industry,Utilities - Renewable
Country,USA
Market Cap,2011.24
P/E,
Price,10.70
Change,0.00%
Volume,0}
{No.,10630
Ticker,XIJN
Company,FT Vest U.S. Equity Buffer & Premium Income ETF - June
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,30.79
Change,0.00%
Volume,0}
{No.,10631
Ticker,XIMR
Company,FT Vest U.S. Equity Buffer & Premium Income ETF - March
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,31.02
Change,0.00%
Volume,0}
{No.,10632
Ticker,XISE
Company,FT Vest U.S. Equity Buffer & Premium Income ETF - September
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,30.21
Change,0.00%
Volume,0}
{No.,10633
Ticker,XITK
Company,State Street SPDR FactSet Innovative Technology ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,147.34
Change,0.00%
Volume,0}
{No.,10634
Ticker,XJAN
Company,FT Vest U.S. Equity Enhance & Moderate Buffer ETF - January
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,36.78
Change,0.00%
Volume,0}
{No.,10635
Ticker,XJH
Company,iShares ESG Select Screened S&P Mid-Cap ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,48.32
Change,0.00%
Volume,0}
{No.,10636
Ticker,XJR
Company,iShares ESG Select Screened S&P Small-Cap ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,46.12
Change,0.00%
Volume,0}
{No.,10637
Ticker,XJUL
Company,FT Vest U.S. Equity Enhance & Moderate Buffer ETF - July
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,39.26
Change,0.00%
Volume,0}
{No.,10638
Ticker,XJUN
Company,FT Vest U.S. Equity Enhance & Moderate Buffer ETF - June
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,43.20
Change,0.00%
Volume,0}
{No.,10639
Ticker,XLB
Company,State Street Materials Select Sector SPDR ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,52.70
Change,0.00%
Volume,0}
{No.,10640
Ticker,XLBI
Company,State Street Materials Select Sector SPDR Premium Income ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,25.23
Change,0.00%
Volume,0}
{No.,10641
Ticker,XLC
Company,State Street Communication Services Select Sector SPDR ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,114.40
Change,0.00%
Volume,0}
{No.,10642
Ticker,XLCI
Company,State Street Communication Services Select Sector SPDR Premium Income
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,24.69
Change,0.00%
Volume,0}
{No.,10643
Ticker,XLE
Company,State Street Energy Select Sector SPDR ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,54.40
Change,1.21%
Volume,54986}
{No.,10644
Ticker,XLEI
Company,State Street Energy Select Sector SPDR Premium Income ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,26.03
Change,0.00%
Volume,0}
{No.,10645
Ticker,XLF
Company,State Street Financial Select Sector SPDR ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,52.35
Change,0.29%
Volume,63475}
{No.,10646
Ticker,XLFI
Company,State Street Financial Select Sector SPDR Premium Income ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,23.70
Change,0.00%
Volume,0}
{No.,10647
Ticker,XLG
Company,Invesco S&P 500 Top 50 ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,57.38
Change,0.58%
Volume,2}
{No.,10648
Ticker,XLI
Company,State Street Industrial Select Sector SPDR ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,175.96
Change,0.50%
Volume,787}
{No.,10649
Ticker,XLII
Company,State Street Industrial Select Sector SPDR Premium Income Fund
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,25.96
Change,0.00%
Volume,0}
{No.,10650
Ticker,XLK
Company,State Street Technology Select Sector SPDR ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,140.46
Change,0.70%
Volume,2741}
{No.,10651
Ticker,XLKI
Company,State Street Technology Select Sector SPDR Premium Income ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,24.74
Change,0.00%
Volume,0}
{No.,10652
Ticker,XLO
Company,Xilio Therapeutics Inc
Sector,Healthcare
Industry,Biotechnology
Country,USA
Market Cap,40.40
P/E,
Price,0.55
Change,-1.24%
Volume,25}
{No.,10653
Ticker,XLP
Company,State Street Consumer Staples Select Sector SPDR ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,88.30
Change,0.11%
Volume,2711}
{No.,10654
Ticker,XLRE
Company,State Street Real Estate Select Sector SPDR ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,44.02
Change,0.18%
Volume,1704}
{No.,10655
Ticker,XLRI
Company,State Street Real Estate Select Sector SPDR Premium Income ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,24.38
Change,0.00%
Volume,0}
{No.,10656
Ticker,XLSI
Company,State Street Consumer Staples Select Sector SPDR Premium Income ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,25.11
Change,0.00%
Volume,0}
{No.,10657
Ticker,XLSR
Company,State Street US Sector Rotation ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,60.81
Change,0.00%
Volume,0}
{No.,10658
Ticker,XLU
Company,State Street Utilities Select Sector SPDR ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,46.38
Change,0.00%
Volume,0}
{No.,10659
Ticker,XLUI
Company,State Street Utilities Select Sector SPDR Premium Income ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,24.95
Change,0.00%
Volume,0}
{No.,10660
Ticker,XLV
Company,State Street Health Care Select Sector SPDR ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,157.37
Change,0.00%
Volume,0}
{No.,10661
Ticker,XLVI
Company,State Street Health Care Select Sector SPDR Premium Income ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,26.76
Change,0.00%
Volume,0}
{No.,10662
Ticker,XLY
Company,State Street Consumer Discretionary Select Sector SPDR ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,116.62
Change,0.50%
Volume,1604}
{No.,10663
Ticker,XLYI
Company,State Street Consumer Discretionary Select Sector SPDR Premium Income
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,23.84
Change,0.00%
Volume,0}
{No.,10664
Ticker,XMAG
Company,Defiance Large Cap ex-Mag 7 ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,23.18
Change,0.00%
Volume,0}
{No.,10665
Ticker,XMAR
Company,FT Vest U.S. Equity Enhance & Moderate Buffer ETF - March
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,40.16
Change,0.00%
Volume,0}
{No.,10666
Ticker,XMAY
Company,FT Vest U.S. Equity Enhance & Moderate Buffer ETF - May
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,35.06
Change,0.00%
Volume,0}
{No.,10667
Ticker,XME
Company,State Street SPDR S&P Metals & Mining ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,117.00
Change,1.64%
Volume,134}
{No.,10668
Ticker,XMHQ
Company,Invesco S&P MidCap Quality ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,107.10
Change,0.00%
Volume,0}
{No.,10669
Ticker,XMLV
Company,Invesco S&P MidCap Low Volatility ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,66.58
Change,0.00%
Volume,0}
{No.,10670
Ticker,XMMO
Company,Invesco S&P MidCap Momentum ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,147.05
Change,0.00%
Volume,0}
{No.,10671
Ticker,XMPT
Company,VanEck CEF Muni Income ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,22.50
Change,0.00%
Volume,0}
{No.,10672
Ticker,XMTR
Company,Xometry Inc
Sector,Industrials
Industry,Industrial Distribution
Country,USA
Market Cap,2933.93
P/E,
Price,57.25
Change,2.54%
Volume,1}
{No.,10673
Ticker,XMVM
Company,Invesco S&P MidCap Value with Momentum ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,69.24
Change,0.00%
Volume,0}
{No.,10674
Ticker,XNAV
Company,FundX Aggressive ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,86.07
Change,0.00%
Volume,0}
{No.,10675
Ticker,XNCR
Company,Xencor Inc
Sector,Healthcare
Industry,Biotechnology
Country,USA
Market Cap,839.08
P/E,
Price,11.75
Change,1.82%
Volume,2919}
{No.,10676
Ticker,XNET
Company,Xunlei Ltd ADR
Sector,Technology
Industry,Software - Infrastructure
Country,China
Market Cap,361.67
P/E,0.29
Price,5.76
Change,0.00%
Volume,0}
